Location,Latitude,Longitude,Population,Average_Income,Competitors,Foot_Traffic,Sales_Potential,Rent_Cost,Unemployment_Rate,Age_18_35,Age_36_60,Education_Level,Crime_Rate,Public_Transport_Access,Parking_Availability,Nearby_Attractions
A,34.05,-118.25,10000,50000,3,2000,100000,5000,5.2,40,50,60,2.5,8,7,5
B,40.71,-74.01,15000,60000,2,2500,150000,6000,4.8,45,48,65,2.0,9,8,6
C,41.88,-87.63,20000,70000,5,3000,200000,7000,4.5,50,45,70,1.8,7,6,7
D,37.77,-122.42,25000,80000,4,3500,250000,8000,4.0,55,40,75,1.5,8,7,8
E,29.76,-95.36,30000,90000,1,4000,300000,9000,3.8,60,35,80,1.2,9,9,9
F,33.45,-112.07,12000,55000,3,2100,110000,5500,5.0,42,49,62,2.3,7,6,5
G,39.95,-75.16,18000,65000,2,2600,160000,6500,4.7,47,46,68,2.1,8,7,6
H,32.78,-96.8,22000,75000,4,3100,210000,7500,4.3,52,43,72,1.9,7,6,7
I,30.27,-97.74,28000,85000,1,3600,260000,8500,4.1,58,38,78,1.6,8,8,8
J,25.76,-80.19,9000,45000,5,1900,90000,4500,5.5,38,52,58,2.7,6,5,4
